citation_key,full_harvard_reference,doi_or_stable_url,database,year,peer_reviewed,study_type,dataset_and_period,raw_urls_available,feature_types,models,split_strategy,metrics,main_result,limitations,relevance_to_objective,verified_by_student,notes
Fette2007,"Fette, I., Sadeh, N.M. and Tomasic, A. (2007) 'Learning to detect phishing emails', in Proceedings of the 16th International Conference on World Wide Web. ACM, pp. 649-656.",https://doi.org/10.1145/1242572.1242660,,2007,yes,conference,"PhishingCorpus and SpamAssassin ham",no,email/header/text,ML classifiers,cross-validation,"Seminal email feature study","Historic and source-specific corpus",O1,,,,
Bergholz2010,"Bergholz, A., De Beer, J., Glahn, S., Moens, M.-F., Paass, G. and Strobel, S. (2010) 'New filtering approaches for phishing email', Journal of Computer Security, 18(1), pp. 7-35.",https://doi.org/10.3233/JCS-2010-0371,,2010,yes,journal,"Labelled ham spam and phishing emails",no,content/structural,ML classifiers,reported in paper,"Email content and structural detection","Predates current phishing tactics",O1,,,,
Ma2011,"Ma, J., Saul, L.K., Savage, S. and Voelker, G.M. (2011) 'Learning to detect malicious URLs', ACM Transactions on Intelligent Systems and Technology, 2(3), Article 30.",https://doi.org/10.1145/1961189.1961202,,2011,yes,journal,"Real-time labelled URLs from webmail",yes,lexical/host/reputation,online learning,balanced online evaluation,"Foundation for URL feature and latency discussion","Malicious URL scope exceeds phishing",O1,,,,
VermaDas2017,"Verma, R.M. and Das, A. (2017) 'What's in a URL: Fast feature extraction and malicious URL detection', in Proceedings of the 3rd ACM Workshop on Security and Privacy Analytics, pp. 55-63.",https://doi.org/10.1145/3041008.3041016,,2017,yes,conference,"Malicious URL experiments",yes,URL features,ML classifiers,"Static/live and balanced/unbalanced conditions","Useful evaluation design evidence","Malicious URL rather than phishing-only scope",O1,,,,
Bahnsen2017,"Bahnsen, A.C., Bohorquez, E.C., Villegas, S., Vargas, J. and Gonzalez, F.A. (2017) 'Classifying phishing URLs using recurrent neural networks', in 2017 APWG Symposium on Electronic Crime Research. IEEE, pp. 1-8.",https://doi.org/10.1109/ECRIME.2017.7945048,,2017,yes,conference,"Phishing URL data",yes,raw URL characters,RNN and random forest,reported in paper,"Raw-URL comparator for classical models","Not directly comparable without matched provenance and split",O1,,,,
LundbergLee2017,"Lundberg, S.M. and Lee, S.-I. (2017) 'A unified approach to interpreting model predictions', in Advances in Neural Information Processing Systems 30, pp. 4765-4774.",https://proceedings.neurips.cc/paper_files/paper/2017/hash/8a20a8621978632d76c43dfd28b67767-Abstract.html,,2017,yes,conference,"Methodological paper",not applicable,model attributions,SHAP,methodological evaluation,"Foundation for SHAP explanations","Not phishing-performance evidence",O5,,,,
JainGupta2018,"Jain, A.K. and Gupta, B.B. (2018) 'Towards detection of phishing websites on client-side using machine learning based approach', Telecommunication Systems, 68(4), pp. 687-700.",https://doi.org/10.1007/s11235-017-0414-0,,2018,yes,journal,"2,141 phishing and 1,918 legitimate websites",not fully,source/hyperlink/CSS/identity,RF/SVM/NN/LR/NB,10-fold CV,"Classical website detector comparison","Features require page or identity data",O1,,,,
Smadi2018,"Smadi, S., Aslam, N. and Zhang, L. (2018) 'Detection of online phishing email using dynamic evolving neural network based on reinforcement learning', Decision Support Systems, 107, pp. 88-102.",https://doi.org/10.1016/j.dss.2018.01.001,,2018,yes,journal,"Established email datasets",no,email features,adaptive neural network,online adaptation,"Email temporal/adaptation comparator","Does not replace independent contemporary testing",O1,,,,
Gutierrez2018,"Gutierrez, C.N., Kim, T., Della Corte, R., Avery, J., Goldwasser, D., Cinque, M. and Bagchi, S. (2018) 'Learning from the ones that got away: Detecting new forms of phishing attacks', IEEE Transactions on Dependable and Secure Computing, 15(6), pp. 988-1001.",https://doi.org/10.1109/TDSC.2018.2864993,,2018,yes,journal,"University IT email corpus",no,email features,continual learning,time-window training and later test,"Temporal evaluation and retraining evidence","Single-organisation corpus",O1,,,,
Sahingoz2019,"Sahingoz, O.K., Buber, E., Demir, O. and Diri, B. (2019) 'Machine learning based phishing detection from URLs', Expert Systems with Applications, 117, pp. 345-357.",https://doi.org/10.1016/j.eswa.2018.09.029,,2019,yes,journal,"36,400 legitimate and 37,175 phishing URLs",yes,NLP/lexical/hybrid,seven classical classifiers,reported in paper,"Core classical URL comparison","Needs documented independent temporal/domain test",O1,,,,
